"MARQUE_ID","MARQUE_ALIAS","MARQUE_NAME","MARQUE_NAME_URL","MARQUE_NAME_META","MARQUE_NAME_META_TITLE","MARQUE_LOGO","MARQUE_WALL","MARQUE_RELFOLLOW","MARQUE_SITEMAP","MARQUE_DISPLAY","MARQUE_SORT","MARQUE_TOP"
"10","ac","AC","AC","AC","AC",,,"0","0","3","2","0"
"11","acura","ACURA","ACURA","ACURA","ACURA","acura.png",,"0","0","0","3","0"
"12","aixam","AIXAM","AIXAM","AIXAM","AIXAM","aixam.png",,"0","0","0","4","0"
"13","alfa-romeo","ALFA ROMEO","ALFA ROMEO","ALFA","ALFA","alfa-romeo.webp","alfa-romeo.jpg","1","1","1","5","1"
"14","alpina","ALPINA","ALPINA","ALPINA","ALPINA",,,"0","0","0","6","0"
"15","alpine","ALPINE","ALPINE","ALPINE","ALPINE",,,"0","0","0","7","0"
"17","aro","ARO","ARO","ARO","ARO",,,"0","0","0","9","0"
"18","artega","ARTEGA","ARTEGA","ARTEGA","ARTEGA",,,"0","0","0","10","0"
"19","asia-motors","ASIA MOTORS","ASIA MOTORS","ASIA MOTORS","ASIA MOTORS",,,"0","0","0","11","0"
"20","askam","ASKAM","ASKAM","ASKAM","ASKAM",,,"0","0","0","12","0"
"21","aston-martin","ASTON MARTIN","ASTON MARTIN","ASTON MARTIN","ASTON MARTIN","aston-martin.webp",,"0","0","2","13","0"
"22","audi","AUDI","AUDI","AUDI","AUDI","audi.webp","audi.jpg","1","1","1","14","1"
"23","austin","AUSTIN","AUSTIN","AUSTIN","AUSTIN","austin.webp",,"0","0","2","15","0"
"24","austin-healey","AUSTIN-HEALEY","AUSTIN-HEALEY","AUSTIN-HEALEY","AUSTIN-HEALEY",,,"0","0","3","16","0"
"26","autobianchi","AUTOBIANCHI","AUTOBIANCHI","AUTOBIANCHI","AUTOBIANCHI",,,"0","0","0","17","0"
"29","bedford","BEDFORD","BEDFORD","BEDFORD","BEDFORD",,,"0","0","0","18","0"
"30","bentley","BENTLEY","BENTLEY","BENTLEY","BENTLEY","bentley.webp",,"0","0","2","19","0"
"33","bmw","BMW","BMW","BMW","BMW","bmw.webp","bmw.jpg","1","1","1","20","1"
"37","bugatti","BUGATTI","BUGATTI","BUGATTI","BUGATTI","bugatti.webp",,"0","0","2","21","0"
"38","buick","BUICK","BUICK","BUICK","BUICK",,,"0","0","0","22","0"
"39","cadillac","CADILLAC","CADILLAC","CADILLAC","CADILLAC","cadillac.webp",,"0","0","2","23","0"
"44","chevrolet","CHEVROLET","CHEVROLET","CHEVROLET","CHEVROLET","chevrolet.webp","chevrolet.jpg","1","1","1","25","0"
"45","chrysler","CHRYSLER","CHRYSLER","CHRYSLER","CHRYSLER","chrysler.webp","chrysler.jpg","1","1","1","26","0"
"46","citroen","CITROËN","CITROËN","CITROËN","CITROËN","citroen.webp","citroen.jpg","1","1","1","27","1"
"47","dacia","DACIA","DACIA","DACIA","DACIA","dacia.webp","dacia.jpg","1","1","1","28","1"
"48","daewoo","DAEWOO","DAEWOO","DAEWOO","DAEWOO","daewoo.webp","daewoo.jpg","1","1","1","29","0"
"49","daf","DAF","DAF","DAF","DAF",,,"0","0","0","30","0"
"50","daihatsu","DAIHATSU","DAIHATSU","DAIHATSU","DAIHATSU","daihatsu.webp",,"0","0","2","31","0"
"51","daimler","DAIMLER","DAIMLER","DAIMLER","DAIMLER",,,"0","0","0","32","0"
"53","de-lorean","DE LOREAN","DE LOREAN","DE LOREAN","DE LOREAN",,,"0","0","0","33","0"
"55","dodge","DODGE","DODGE","DODGE","DODGE",,,"0","0","3","35","0"
"56","ebro","EBRO","EBRO","EBRO","EBRO",,,"0","0","0","37","0"
"57","ferrari","FERRARI","FERRARI","FERRARI","FERRARI","ferrari.webp",,"0","0","2","38","0"
"58","fiat","FIAT","FIAT","FIAT","FIAT","fiat.webp","fiat.jpg","1","1","1","39","1"
"60","ford","FORD","FORD","FORD","FORD","ford.webp","ford.jpg","1","1","1","40","1"
"64","fso","FSO","FSO","FSO","FSO",,,"0","0","0","42","0"
"65","gaz","GAZ","GAZ","GAZ","GAZ",,,"0","0","0","43","0"
"66","geely","GEELY","GEELY","GEELY","GEELY",,,"0","0","0","44","0"
"67","geo","GEO","GEO","GEO","GEO",,,"0","0","0","46","0"
"69","glas","GLAS","GLAS","GLAS","GLAS",,,"0","0","0","47","0"
"70","gmc","GMC","GMC","GMC","GMC",,,"0","0","0","48","0"
"71","genesis","GENESIS","GENESIS","GENESIS","GENESIS",,,"0","0","0","45","0"
"73","holden","HOLDEN","HOLDEN","HOLDEN","HOLDEN",,,"0","0","0","49","0"
"74","honda","HONDA","HONDA","HONDA","HONDA","honda.webp","honda.jpg","1","1","1","50","0"
"75","hummer","HUMMER","HUMMER","HUMMER","HUMMER","hummer.webp",,"0","0","2","51","0"
"76","hyundai","HYUNDAI","HYUNDAI","HYUNDAI","HYUNDAI","hyundai.webp","hyundai.jpg","1","1","1","52","1"
"78","infiniti","INFINITI","INFINITI","INFINITI","INFINITI","infiniti.webp",,"0","0","2","53","0"
"79","innocenti","INNOCENTI","INNOCENTI","INNOCENTI","INNOCENTI",,,"0","0","0","54","0"
"83","isuzu","ISUZU","ISUZU","ISUZU","ISUZU","isuzu.webp",,"0","0","2","55","0"
"84","iveco","IVECO","IVECO","IVECO","IVECO","iveco.webp","iveco.jpg","1","1","1","56","0"
"85","jaguar","JAGUAR","JAGUAR","JAGUAR","JAGUAR","jaguar.webp",,"0","0","2","57","0"
"86","jeep","JEEP","JEEP","JEEP","JEEP","jeep.webp","jeep.jpg","1","1","1","58","0"
"88","kia","KIA","KIA","KIA","KIA","kia.webp","kia.jpg","1","1","1","59","1"
"90","lada","LADA","LADA","LADA","LADA","lada.webp","lada.jpg","1","1","1","60","0"
"91","lamborghini","LAMBORGHINI","LAMBORGHINI","LAMBORGHINI","LAMBORGHINI","lamborghini.webp",,"0","0","2","61","0"
"92","lancia","LANCIA","LANCIA","LANCIA","LANCIA","lancia.webp","lancia.jpg","1","1","1","62","0"
"93","land-rover","LAND ROVER","LAND ROVER","LAND ROVER","LAND ROVER","land-rover.webp","land-rover.jpg","1","1","1","63","0"
"94","landwind","LANDWIND","LANDWIND","LANDWIND","LANDWIND",,,"0","0","0","64","0"
"95","ldv","LDV","LDV","LDV","LDV",,,"0","0","0","65","0"
"96","lexus","LEXUS","LEXUS","LEXUS","LEXUS","lexus.webp",,"0","0","2","66","0"
